Sheet,ID,Species,Location,latitude,longitude,biomass,size,source,Institution
Assis et al,,Alaria esculenta,,53.689611,-10.133329,,,"Krumhansl, K., Okamoto, D., Rassweiler, A., Novak, M., Bolton, J., Cavanaugh, K., Connell, S., Johnson, C., Konar, B., Ling, S., Micheli, F., Norderhaug, K., Pérez-matus, A., Sousa-pinto, I., Reed, D., Salomon, A., Shears, N., Wernberg, T., Anderson, R., Barrett, N., Buschmann, A., Carr, M., Caselle, J., Derrien-courtel, S., Edgar, G., Edwards, M., Estes, J., Goodwin, C., Kenner, M., Kushner, D., Moy, F., Nunn, J., Steneck, R., Vásquez, J., Watson, J., Witman, J. & Byrnes, J. Global Patterns Of Kelp Forest Change Over The Past Half-century. Proc. Natl. Acad. Sci. U. S. A., 113: 48, 13785-13790 (2016)",
Assis et al,,Alaria esculenta,,54.568254,-8.460082,,,"Krumhansl, K., Okamoto, D., Rassweiler, A., Novak, M., Bolton, J., Cavanaugh, K., Connell, S., Johnson, C., Konar, B., Ling, S., Micheli, F., Norderhaug, K., Pérez-matus, A., Sousa-pinto, I., Reed, D., Salomon, A., Shears, N., Wernberg, T., Anderson, R., Barrett, N., Buschmann, A., Carr, M., Caselle, J., Derrien-courtel, S., Edgar, G., Edwards, M., Estes, J., Goodwin, C., Kenner, M., Kushner, D., Moy, F., Nunn, J., Steneck, R., Vásquez, J., Watson, J., Witman, J. & Byrnes, J. Global Patterns Of Kelp Forest Change Over The Past Half-century. Proc. Natl. Acad. Sci. U. S. A., 113: 48, 13785-13790 (2016)",
Assis et al,,Alaria esculenta,,52.692,-9.67,,,"Assis, J., Araújo, M. & Serrão, E. Projected Climate Changes Threaten Ancient Refugia Of Kelp Forests In The North Atlantic. Glob. Chang. Biol., 24: 1, e55-e66 (2017)",
Assis et al,,Alaria esculenta,,52.058061,-6.98018,,,"Assis, J., Araújo, M. & Serrão, E. Projected Climate Changes Threaten Ancient Refugia Of Kelp Forests In The North Atlantic. Glob. Chang. Biol., 24: 1, e55-e66 (2017)",
Assis et al,,Alaria esculenta,,54.664546,-8.930573,,,"Assis, J., Araújo, M. & Serrão, E. Projected Climate Changes Threaten Ancient Refugia Of Kelp Forests In The North Atlantic. Glob. Chang. Biol., 24: 1, e55-e66 (2017)",
Assis et al,,Alaria esculenta,,55.381086,-7.388965,,,"Krumhansl, K., Okamoto, D., Rassweiler, A., Novak, M., Bolton, J., Cavanaugh, K., Connell, S., Johnson, C., Konar, B., Ling, S., Micheli, F., Norderhaug, K., Pérez-matus, A., Sousa-pinto, I., Reed, D., Salomon, A., Shears, N., Wernberg, T., Anderson, R., Barrett, N., Buschmann, A., Carr, M., Caselle, J., Derrien-courtel, S., Edgar, G., Edwards, M., Estes, J., Goodwin, C., Kenner, M., Kushner, D., Moy, F., Nunn, J., Steneck, R., Vásquez, J., Watson, J., Witman, J. & Byrnes, J. Global Patterns Of Kelp Forest Change Over The Past Half-century. Proc. Natl. Acad. Sci. U. S. A., 113: 48, 13785-13790 (2016)",
Assis et al,,Alaria esculenta,,53.875777,-10.202071,,,"Krumhansl, K., Okamoto, D., Rassweiler, A., Novak, M., Bolton, J., Cavanaugh, K., Connell, S., Johnson, C., Konar, B., Ling, S., Micheli, F., Norderhaug, K., Pérez-matus, A., Sousa-pinto, I., Reed, D., Salomon, A., Shears, N., Wernberg, T., Anderson, R., Barrett, N., Buschmann, A., Carr, M., Caselle, J., Derrien-courtel, S., Edgar, G., Edwards, M., Estes, J., Goodwin, C., Kenner, M., Kushner, D., Moy, F., Nunn, J., Steneck, R., Vásquez, J., Watson, J., Witman, J. & Byrnes, J. Global Patterns Of Kelp Forest Change Over The Past Half-century. Proc. Natl. Acad. Sci. U. S. A., 113: 48, 13785-13790 (2016)",
Assis et al,,Alaria esculenta,,51.792504,-8.29059,,,"Assis, J., Araújo, M. & Serrão, E. Projected Climate Changes Threaten Ancient Refugia Of Kelp Forests In The North Atlantic. Glob. Chang. Biol., 24: 1, e55-e66 (2017)",
Assis et al,,Alaria esculenta,,51.588,-10.037,,,"Assis, J., Araújo, M. & Serrão, E. Projected Climate Changes Threaten Ancient Refugia Of Kelp Forests In The North Atlantic. Glob. Chang. Biol., 24: 1, e55-e66 (2017)",
Assis et al,,Alaria esculenta,,53.797,-6.22,,,"Assis, J., Araújo, M. & Serrão, E. Projected Climate Changes Threaten Ancient Refugia Of Kelp Forests In The North Atlantic. Glob. Chang. Biol., 24: 1, e55-e66 (2017)",
Assis et al,,Alaria esculenta,,51.518898,-9.009173,,,"Assis, J., Araújo, M. & Serrão, E. Projected Climate Changes Threaten Ancient Refugia Of Kelp Forests In The North Atlantic. Glob. Chang. Biol., 24: 1, e55-e66 (2017)",
Assis et al,,Alaria esculenta,,52.122748,-6.927992,,,"Krumhansl, K., Okamoto, D., Rassweiler, A., Novak, M., Bolton, J., Cavanaugh, K., Connell, S., Johnson, C., Konar, B., Ling, S., Micheli, F., Norderhaug, K., Pérez-matus, A., Sousa-pinto, I., Reed, D., Salomon, A., Shears, N., Wernberg, T., Anderson, R., Barrett, N., Buschmann, A., Carr, M., Caselle, J., Derrien-courtel, S., Edgar, G., Edwards, M., Estes, J., Goodwin, C., Kenner, M., Kushner, D., Moy, F., Nunn, J., Steneck, R., Vásquez, J., Watson, J., Witman, J. & Byrnes, J. Global Patterns Of Kelp Forest Change Over The Past Half-century. Proc. Natl. Acad. Sci. U. S. A., 113: 48, 13785-13790 (2016)",
Assis et al,,Alaria esculenta,,52.122749,-6.928168,,,"Krumhansl, K., Okamoto, D., Rassweiler, A., Novak, M., Bolton, J., Cavanaugh, K., Connell, S., Johnson, C., Konar, B., Ling, S., Micheli, F., Norderhaug, K., Pérez-matus, A., Sousa-pinto, I., Reed, D., Salomon, A., Shears, N., Wernberg, T., Anderson, R., Barrett, N., Buschmann, A., Carr, M., Caselle, J., Derrien-courtel, S., Edgar, G., Edwards, M., Estes, J., Goodwin, C., Kenner, M., Kushner, D., Moy, F., Nunn, J., Steneck, R., Vásquez, J., Watson, J., Witman, J. & Byrnes, J. Global Patterns Of Kelp Forest Change Over The Past Half-century. Proc. Natl. Acad. Sci. U. S. A., 113: 48, 13785-13790 (2016)",
Assis et al,,Alaria esculenta,,55.181167,-7.929016,,,"Krumhansl, K., Okamoto, D., Rassweiler, A., Novak, M., Bolton, J., Cavanaugh, K., Connell, S., Johnson, C., Konar, B., Ling, S., Micheli, F., Norderhaug, K., Pérez-matus, A., Sousa-pinto, I., Reed, D., Salomon, A., Shears, N., Wernberg, T., Anderson, R., Barrett, N., Buschmann, A., Carr, M., Caselle, J., Derrien-courtel, S., Edgar, G., Edwards, M., Estes, J., Goodwin, C., Kenner, M., Kushner, D., Moy, F., Nunn, J., Steneck, R., Vásquez, J., Watson, J., Witman, J. & Byrnes, J. Global Patterns Of Kelp Forest Change Over The Past Half-century. Proc. Natl. Acad. Sci. U. S. A., 113: 48, 13785-13790 (2016)",
Assis et al,,Alaria esculenta,,55.219169,-7.798662,,,"Krumhansl, K., Okamoto, D., Rassweiler, A., Novak, M., Bolton, J., Cavanaugh, K., Connell, S., Johnson, C., Konar, B., Ling, S., Micheli, F., Norderhaug, K., Pérez-matus, A., Sousa-pinto, I., Reed, D., Salomon, A., Shears, N., Wernberg, T., Anderson, R., Barrett, N., Buschmann, A., Carr, M., Caselle, J., Derrien-courtel, S., Edgar, G., Edwards, M., Estes, J., Goodwin, C., Kenner, M., Kushner, D., Moy, F., Nunn, J., Steneck, R., Vásquez, J., Watson, J., Witman, J. & Byrnes, J. Global Patterns Of Kelp Forest Change Over The Past Half-century. Proc. Natl. Acad. Sci. U. S. A., 113: 48, 13785-13790 (2016)",
Assis et al,,Alaria esculenta,,53.689718,-10.136389,,,"Krumhansl, K., Okamoto, D., Rassweiler, A., Novak, M., Bolton, J., Cavanaugh, K., Connell, S., Johnson, C., Konar, B., Ling, S., Micheli, F., Norderhaug, K., Pérez-matus, A., Sousa-pinto, I., Reed, D., Salomon, A., Shears, N., Wernberg, T., Anderson, R., Barrett, N., Buschmann, A., Carr, M., Caselle, J., Derrien-courtel, S., Edgar, G., Edwards, M., Estes, J., Goodwin, C., Kenner, M., Kushner, D., Moy, F., Nunn, J., Steneck, R., Vásquez, J., Watson, J., Witman, J. & Byrnes, J. Global Patterns Of Kelp Forest Change Over The Past Half-century. Proc. Natl. Acad. Sci. U. S. A., 113: 48, 13785-13790 (2016)",
Assis et al,,Alaria esculenta,,55.211662,-8.018336,,,"Krumhansl, K., Okamoto, D., Rassweiler, A., Novak, M., Bolton, J., Cavanaugh, K., Connell, S., Johnson, C., Konar, B., Ling, S., Micheli, F., Norderhaug, K., Pérez-matus, A., Sousa-pinto, I., Reed, D., Salomon, A., Shears, N., Wernberg, T., Anderson, R., Barrett, N., Buschmann, A., Carr, M., Caselle, J., Derrien-courtel, S., Edgar, G., Edwards, M., Estes, J., Goodwin, C., Kenner, M., Kushner, D., Moy, F., Nunn, J., Steneck, R., Vásquez, J., Watson, J., Witman, J. & Byrnes, J. Global Patterns Of Kelp Forest Change Over The Past Half-century. Proc. Natl. Acad. Sci. U. S. A., 113: 48, 13785-13790 (2016)",
Assis et al,,Alaria esculenta,,55.007833,-8.509665,,,"Krumhansl, K., Okamoto, D., Rassweiler, A., Novak, M., Bolton, J., Cavanaugh, K., Connell, S., Johnson, C., Konar, B., Ling, S., Micheli, F., Norderhaug, K., Pérez-matus, A., Sousa-pinto, I., Reed, D., Salomon, A., Shears, N., Wernberg, T., Anderson, R., Barrett, N., Buschmann, A., Carr, M., Caselle, J., Derrien-courtel, S., Edgar, G., Edwards, M., Estes, J., Goodwin, C., Kenner, M., Kushner, D., Moy, F., Nunn, J., Steneck, R., Vásquez, J., Watson, J., Witman, J. & Byrnes, J. Global Patterns Of Kelp Forest Change Over The Past Half-century. Proc. Natl. Acad. Sci. U. S. A., 113: 48, 13785-13790 (2016)",
Assis et al,,Alaria esculenta,,55.102766,-8.365849,,,"Assis, J., Araújo, M. & Serrão, E. Projected Climate Changes Threaten Ancient Refugia Of Kelp Forests In The North Atlantic. Glob. Chang. Biol., 24: 1, e55-e66 (2017)",
Assis et al,,Alaria esculenta,,54.214169,-9.073708,,,"Assis, J., Araújo, M. & Serrão, E. Projected Climate Changes Threaten Ancient Refugia Of Kelp Forests In The North Atlantic. Glob. Chang. Biol., 24: 1, e55-e66 (2017)",
Assis et al,,Alaria esculenta,,54.327,-9.635,,,"Assis, J., Araújo, M. & Serrão, E. Projected Climate Changes Threaten Ancient Refugia Of Kelp Forests In The North Atlantic. Glob. Chang. Biol., 24: 1, e55-e66 (2017)",
Assis et al,,Alaria esculenta,,54.156,-10.204,,,"Assis, J., Araújo, M. & Serrão, E. Projected Climate Changes Threaten Ancient Refugia Of Kelp Forests In The North Atlantic. Glob. Chang. Biol., 24: 1, e55-e66 (2017)",
Assis et al,,Alaria esculenta,,51.942916,-7.708772,,,"Assis, J., Araújo, M. & Serrão, E. Projected Climate Changes Threaten Ancient Refugia Of Kelp Forests In The North Atlantic. Glob. Chang. Biol., 24: 1, e55-e66 (2017)",
Assis et al,,Alaria esculenta,,52.864,-6.071,,,"Assis, J., Araújo, M. & Serrão, E. Projected Climate Changes Threaten Ancient Refugia Of Kelp Forests In The North Atlantic. Glob. Chang. Biol., 24: 1, e55-e66 (2017)",
Assis et al,,Alaria esculenta,,52.151,-6.387,,,"Assis, J., Araújo, M. & Serrão, E. Projected Climate Changes Threaten Ancient Refugia Of Kelp Forests In The North Atlantic. Glob. Chang. Biol., 24: 1, e55-e66 (2017)",
JNCC70s,,Alaria esculenta,,51.47709,-9.439677,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8015,JNCC
JNCC70s,,Alaria esculenta,,51.46206,-9.411115,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8015,JNCC
JNCC90s,,Alaria esculenta,Great Pollet Arch (Lough Swilly),55.25668406,-7.61941422,,,,JNCC
JNCC90s,,Alaria esculenta,Inside of Seven Heads Rocks (Saltee Islands),52.10986667,-6.62010072,,,,JNCC
JNCC90s,,Alaria esculenta,"Portnagarribane, Fanad (Lough Swilly)",55.27699511,-7.64341992,,,,JNCC
JNCC90s,,Alaria esculenta,S side of Limeburner Rock (Mulroy Bay),55.29953408,-7.80156527,,,,JNCC
JNCC90s,,Alaria esculenta,S of Black Ball Head (Bantry Bay),51.5888648,-10.03777974,,,,JNCC
JNCC90s,,Alaria esculenta,"W of Blind Sound, Inishmore (Aran Islands)",53.12407122,-9.76289036,,,,JNCC
JNCC90s,,Alaria esculenta,W of Carnsore Point (Carnsore Point to Forlorn Point),52.17603242,-6.38153725,,,,JNCC
JNCC90s,,Alaria esculenta,S of Carrickduff (Inishkea Islands),54.15700665,-10.20563748,,,,JNCC
JNCC90s,,Alaria esculenta,NE of Foilnadeal (Bantry Bay),51.55425483,-9.8272391,,,,JNCC
JNCC90s,,Alaria esculenta,"Clashymore Harbour, Inishmurray (S Donegal Bay)",54.42831306,-8.66630852,,,,JNCC
JNCC90s,,Alaria esculenta,W of Sebber Bridge (Saltee Islands),52.12535016,-6.61074078,,,,JNCC
JNCC90s,,Alaria esculenta,"Blue Lough Bay, Ballyconnell Point (S Donegal Bay)",54.36511699,-8.66574398,,,,JNCC
JNCC90s,,Alaria esculenta,"Lislary Point, Cloonagh Bay (S Donegal Bay)",54.38013919,-8.60569097,,,,JNCC
JNCC90s,,Alaria esculenta,"N of Thumb Rock, Mullaghmore (S Donegal Bay)",54.47279204,-8.44993415,,,,JNCC
JNCC90s,,Alaria esculenta,W of Ballyhoorisky Island (Mulroy Bay),55.24701891,-7.76253254,,,,JNCC
JNCC90s,,Alaria esculenta,W of Ballyhoorisky Island (Mulroy Bay),55.24701891,-7.76253254,,,,JNCC
JNCC90s,,Alaria esculenta,Barrels Rocks (Carnsore Point to Forlorn Point),52.15174507,-6.38865555,,,,JNCC
JNCC90s,,Alaria esculenta,"Lislary Point, Cloonagh Bay (S Donegal Bay)",54.38013919,-8.60569097,,,,JNCC
JNCC90s,,Alaria esculenta,"Lislary Point, Cloonagh Bay (S Donegal Bay)",54.38013919,-8.60569097,,,,JNCC
JNCC90s,,Alaria esculenta,S of Knockadoan Head (Ballycotton Bay),51.87840334,-7.88017705,,,,JNCC
JNCC90s,,Alaria esculenta,Murles Point (N Donegal Bay),54.60208502,-8.28660616,,,,JNCC
JNCC90s,,Alaria esculenta,SE of Carricknaroun (Mullet peninsula),54.23611104,-10.07256979,,,,JNCC
JNCC90s,,Alaria esculenta,NE of Foilnadeal (Bantry Bay),51.55425483,-9.8272391,,,,JNCC
JNCC90s,,Alaria esculenta,S of Ballymore Point (Ventry),52.13162289,-10.33655944,,,,JNCC
JNCC90s,,Alaria esculenta,"S of Fanore Point, Black Head (Galway Bay, Southern coast)",53.13901967,-9.29531216,,,,JNCC
JNCC90s,,Alaria esculenta,"Meenclady Bay, W Inishboffin Bay (Bloody Foreland)",55.15366991,-8.21188624,,,,JNCC
JNCC90s,,Alaria esculenta,Spanish Point (Mal Bay),52.85778901,-9.45734414,,,,JNCC
JNCC90s,,Alaria esculenta,S of Scariff Hedges (Outer Kenmare River),51.72554945,-10.26533321,,,,JNCC
JNCC90s,,Alaria esculenta,"Coosanea, N (Magharee Islands, Brandon Bay)",52.31694192,-10.06741293,,,,JNCC
JNCC90s,,Alaria esculenta,"Coosanea, N (Magharee Islands, Brandon Bay)",52.31694192,-10.06741293,,,,JNCC
JNCC90s,,Alaria esculenta,Clogher Head,53.79762815,-6.22177063,,,,JNCC
JNCC90s,,Alaria esculenta,S of Knockadoan Head (Ballycotton Bay),51.87840334,-7.88017705,,,,JNCC
JNCC90s,,Alaria esculenta,S of Ballymore Point (Ventry),52.13162289,-10.33655944,,,,JNCC
JNCC90s,,Alaria esculenta,"Pollnagat, Easky (Sligo Bay)",54.29817255,-8.94597943,,,,JNCC
JNCC90s,,Alaria esculenta,"Meenclady Bay, W Inishboffin Bay (Bloody Foreland)",55.15366991,-8.21188624,,,,JNCC
JNCC90s,,Alaria esculenta,"Fort Promontory, N of Inishcrone (Killala Bay)",54.23434278,-9.09008539,,,,JNCC
JNCC90s,,Alaria esculenta,W of Murreagh Point (Valentia Island),51.94880578,-10.34292863,,,,JNCC
JNCC90s,,Alaria esculenta,Brinlack Port (Bloody Foreland),55.12932637,-8.29641466,,,,JNCC
JNCC90s,,Alaria esculenta,"S of Fanore Point, Black Head (Galway Bay, Southern coast)",53.13901967,-9.29531216,,,,JNCC
JNCC90s,,Alaria esculenta,W of Black Rock (Rathlin O' Birne Island),54.66059392,-8.84011876,,,,JNCC
JNCC90s,,Alaria esculenta,"Rathlee Head, Lenadoon Point (Killala Bay)",54.28572206,-9.05906339,,,,JNCC
JNCC90s,,Alaria esculenta,Kilclogher Head (Kilbaha Bay),52.57838129,-9.82788149,,,,JNCC
JNCC90s,,Alaria esculenta,Kilclogher Head (Kilbaha Bay),52.57838129,-9.82788149,,,,JNCC
JNCC90s,,Alaria esculenta,S. of Cloghaunichy Point (S. of Mutton Island),52.79643077,-9.49569102,,,,JNCC
JNCC90s,,Alaria esculenta,Skerry SW of Garinish Island (Carrigavunig) (Sneem Harbour),51.79843229,-9.91985679,,,,JNCC
JNCC90s,,Alaria esculenta,E of Illaunmaster (The Stags of Broadhaven to Belderrig Harbour),54.32779838,-9.63620267,,,,JNCC
JNCC90s,,Alaria esculenta,"The Vico, S. of Sorrento Point (Killiney Bay)",53.2700206,-6.10411138,,,,JNCC
JNCC90s,,Alaria esculenta,"Carrickfadda, E. of Aughris Head (Sligo Bay)",54.27423139,-8.7401238,,,,JNCC
JNCC90s,,Alaria esculenta,S of Scariff Hedges (Outer Kenmare River),51.72554945,-10.26533321,,,,JNCC
JNCC90s,,Alaria esculenta,"Carrickabraghy, Doagh Isle (Malin Head)",55.31503227,-7.37565488,,,,JNCC
JNCC90s,,Alaria esculenta,W of Cloghmore Point (Kilkieran Bay),53.24046786,-9.54728516,,,,JNCC
JNCC90s,,Alaria esculenta,"Carrickabraghy, Doagh Isle (Malin Head)",55.31503227,-7.37565488,,,,JNCC
JNCC90s,,Alaria esculenta,Ballynacashlan (Downpatrick Head),54.31980557,-9.35580239,,,,JNCC
JNCC90s,,Alaria esculenta,Rockpools at Dooagh (Achill Island),53.97185749,-10.12308319,,,,JNCC
JNCC90s,,Alaria esculenta,Rush Pier (Skerries to Malahide),53.52107035,-6.07539096,,,,JNCC
JNCC90s,,Alaria esculenta,"Fort Promontory, N of Inishcrone (Killala Bay)",54.23434278,-9.09008539,,,,JNCC
JNCC90s,,Alaria esculenta,"Duggerna Rock, Kilkee (Moore Bay)",52.69323432,-9.67114397,,,,JNCC
JNCC90s,,Alaria esculenta,Hook Head,52.12563909,-6.94702678,,,,JNCC
JNCC90s,,Alaria esculenta,W side of Carrickakin (Achill Island),53.9720219,-10.27561558,,,,JNCC
JNCC90s,,Alaria esculenta,"Duggerna Rock, Kilkee (Moore Bay)",52.69323432,-9.67114397,,,,JNCC
JNCC90s,,Alaria esculenta,W of Murreagh Point (Valentia Island),51.94880578,-10.34292863,,,,JNCC
JNCC90s,,Alaria esculenta,NE of Ilaunonearaun (Loop head to Donegal Point),52.65283367,-9.73085682,,,,JNCC
JNCC90s,,Alaria esculenta,"Belacoon cove, S (Galley Head, Glandore Bay)",51.55357411,-8.96989403,,,,JNCC
JNCC90s,,Alaria esculenta,NE of Little Saddle Head (Achill Island),53.97602519,-10.24643011,,,,JNCC
JNCC90s,,Alaria esculenta,Mizen Head,52.86425584,-6.07220387,,,,JNCC
JNCC80s-2015,,Alaria esculenta,,51.555,-9.826605,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Alaria esculenta,,51.555,-9.826605,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Alaria esculenta,,51.58965,-10.03695,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Alaria esculenta,,55.29877,-7.80161,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Alaria esculenta,,55.24625,-7.762566,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Alaria esculenta,,55.24625,-7.762566,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Alaria esculenta,,55.27704,-7.643428,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Alaria esculenta,,55.25595,-7.619399,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Alaria esculenta,,53.12429,-9.762172,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Alaria esculenta,,51.87905,-7.88012,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Alaria esculenta,,51.87905,-7.88012,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Alaria esculenta,,53.52101,-6.075222,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Alaria esculenta,,53.79693,-6.217566,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Alaria esculenta,,53.26939,-6.097195,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Alaria esculenta,,52.86353,-6.063037,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Alaria esculenta,,54.38013,-8.605791,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Alaria esculenta,,54.38013,-8.605791,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Alaria esculenta,,54.38013,-8.605791,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Alaria esculenta,,54.36517,-8.665733,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Alaria esculenta,,54.42832,-8.666291,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Alaria esculenta,,54.47279,-8.449957,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Alaria esculenta,,54.6021,-8.286563,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Alaria esculenta,,52.17429,-6.367973,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Alaria esculenta,,52.10983,-6.620093,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Alaria esculenta,,52.12527,-6.610708,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Alaria esculenta,,52.15165,-6.388527,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Alaria esculenta,,54.15701,-10.20569,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Alaria esculenta,,54.23076,-10.07586,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Alaria esculenta,,53.13202,-9.291775,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Alaria esculenta,,53.13202,-9.291775,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Alaria esculenta,,53.23325,-9.544957,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Alaria esculenta,,52.56876,-9.82245,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Alaria esculenta,,52.68431,-9.666064,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Alaria esculenta,,52.68431,-9.666064,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Alaria esculenta,,52.56876,-9.82245,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
